itemnumall,condition,story,question,itemid_superloc,itemnum_superloc,itemnum_dfetal,itemorder_tomshort,RTPJ,LTPJ,PC ,RpSTS ,RTP ,DMPFC,MMPFC
4,fb,"Expecting the game to be postponed because of the rain, the Garcia family took the subway home. The score was tied, 3-3. During their commute the rain stopped and the game soon ended with a score of 5-3.",The Garcia family arrives home believing the score is 5-3. ,1b,1,3,6,0.41,0.678,0.27,0.06,0.142,-0.388,-0.42
27,fp,"Accounts of the country's bustling economic success were recorded in both fiction and non-fiction books from the early 1900s. Soon after, a horrible plague hit the country and the country was sent into an economic depression.",Early 1900s novels portray the country as experiencing economic wealth. ,1p,2,35,12,-0.062,0.367,-0.259,0.028,-0.006,-0.253,-0.518
1,fb,"The morning of high school dance Sarah placed her high heel shoes under her dress and then went shopping. That afternoon, her sister borrowed the shoes and later put them under Sarahs bed.",Sarah gets ready assuming her shoes are under the dress. ,2b,3,1,1,0.446,0.643,0.492,0.218,0.151,-0.371,-0.657
35,fp,"Sargent famously painted the south bank of the river in 1885. In 1910 a huge dam was built, flooding out the whole river basin, killing the old forests. Now the whole area is under water.",In the painting the south bank of the river is wooded. ,2p,4,29,,-0.159,0.288,-0.276,-0.022,-0.111,-0.07,-0.425
9,fb,When Lisa left Jacob he was deep asleep on the beach. A few minutes later a wave woke him. Seeing Lisa was gone Jacob decided to go swimming.,Lisa now believes that Jacob is sleeping. ,3b,5,5,9,0.31,0.474,0.285,0.423,0.164,0.017,-0.268
39,fp,"At the time a portrait was drawn of a young man, he had short brown hair and no facial hair. Now the man's hair is long and gray and so is his beard. ",Today the length of the man's hair is long. ,3p,6,34,13,-0.389,0.068,-0.44,-0.238,0.016,-0.393,-0.81
20,fb,John told Mary that he had lost his keys. The two of them searched the house with no luck. Then Mary went outside to look in the car. Suddenly John noticed his keys behind the sofa.,"By the time Mary comes in, John doesn't know where his keys are. ",4b,7,2,4,-0.059,0.496,-0.171,0.195,-0.047,0.283,-0.693
34,fp,A biography describes the room as it was in 1965. Originally the walls were covered in dark wallpaper. By 1965 the paper had been stripped and replaced with cream paint.,The biography says that the room was light. ,4p,8,30,,-0.157,0.343,-0.411,-0.073,-0.198,-0.24,-0.518
19,fb,Susie parked her sportscar in the driveway. In the middle of the night Nathan moved her car into the garage to make room for his minivan. Susie woke up early in the morning.,Susie sees the minivan in the driveway. ,5b,9,4,8,-0.04,0.265,0.197,0.065,-0.149,-0.274,-0.511
40,fp,"The girls middle school pictures showed her wearing a white blouse. Later, a red sock was accidentally washed with the blouse and the blouse turned pink. ",Today the color of the blouse is white. ,5p,10,36,10,-0.47,0.24,-0.588,0.05,-0.465,-0.314,-0.647
14,fb,"A window wiper was commissioned by a CEO to wipe an entire building. He finished the right side, but his platform broke before he could do the left side. The next morning the CEO arrived with foreign investors.",The CEO comes to work and discovers that all of the walls are cleaned. ,6b,11,7,14,0.175,0.596,-0.051,0.345,0.229,0.217,-0.409
26,fp,"A long time ago, an explorer mapped a small island. Since then, the water levels rose and only a tiny part of the island is now left above water.","On the explorer's maps, the island appears to be mostly submerged. ",6p,12,33,15,-0.025,0.278,-0.331,-0.003,-0.109,-0.101,-0.273
24,fb,Sally and Greg called ahead of time to make a reservation for the back-country cabin. The park ranger forgot to write down the reservation and two other hikers got to the cabin first.,When the hikers arrive they see no one in their cabin. ,7b,13,8,16,0.18,0.489,-0.083,0.285,0.279,-0.161,-0.591
48,fp,"When the picture was taken of the house, it was one story tall. Since then, the renovators added an additional story and a garage.",The house is currently one story. ,7p,14,37,7,,,,,,,
2,fb,Larry chose a debated topic for his class paper due on Friday. The news on Thursday indicated that the debate had been solved but Larry never read it. ,When Larry writes his paper he thinks the debate has been solved. ,8b,15,6,11,0.444,0.477,0.608,0.312,0.079,-0.095,-0.303
43,fp,A volcano erupted on a Carribean island three months ago. Barren lava rock is all that remains today. Satellite photographs show the island as it was before the eruption. ,"Today, the island is covered in lava rock. ",8p,,39,3,,,,,,,
3,fb,"Laura didn't have time to braid her horses mane before going to camp. While she was at camp, William brushed Laura's horse and braided the horses mane for her.",Laura returns assuming that her horses hair isn't braided ,9b,17,10,19,0.412,0.478,0.302,0.385,0.206,-0.024,-0.326
28,fp,A large oak tree stood in front of City Hall from the time the building was built. Last year the tree fell down and was replaced by a stone fountain.,An antique drawing of City Hall shows a fountain in front. ,9p,18,38,5,-0.077,0.24,-0.39,0.009,-0.212,-0.549,-0.465
21,fb,"Amy walked to work today. When George woke up, he saw her car in the drive. Her room was quiet and dark. George knows that when Amy is sick, she lies down in a dark room.","In fact, Amy walked to work. ",10b,19,9,18,0.241,0.612,0.064,0.243,0.088,0.261,-0.365
44,fp,"Old maps of the islands near Titan are displayed in the Maritime museum. Erosion has since taken its toll, leaving only the three largest islands. ",Near Titan today there are many islands. ,10p,20,40,2,,,,,,,
31,fp,"The family's old video tape recorded the daughters first birthday party at their house in Chicago. Since then, the family sold their house and moved to San Francisco.   ",The video shows the family living in Chicago. ,,,32,17,-0.131,0.322,-0.229,0.096,0.124,0.21,-0.241
33,fp,"Part of the garden is supposed to be reserved for the roses; it's labeled accordingly. Recently the garden has run wild, and dandelions have taken over the entire flower bed.","According to the label, these flowers are roses. ",,,31,20,-0.141,0.304,-0.034,0.063,0.026,-0.166,-0.715
5,fb,"When Christine labeled the pie at the schools bakesale, she thought it was cherry, and labeled the pie ""cherry"". Actually, the pie was strawberry. ",A customer purchasing the pie expects it to taste like cherries. ,,,,,0.379,0.655,0.61,0.253,0.011,-0.023,-0.13
6,fb,"Brad put the book he just bought on the top shelf of his bookcase and left for the weekend. That weekend, Heather borrowed the book and stored it in her handbag.",When Brad returns he looks for his book in the handbag. ,,,,,0.364,0.581,0.376,0.379,0.262,-0.034,-0.362
7,fb,"Jenny put her chocolate away in the cupboard. Then she went outside. Alan moved the chocolate from the cupboard into the fridge. Half an hour later, Jenny came back inside.",Jenny expects to find her chocolate in the cupboard. ,,,13,,0.33,0.581,0.127,0.286,0.473,0.075,0.165
8,fb,"Anne made lasagna in the blue dish. After Anne left, Ian came home and ate the lasagna. Then he filled the blue dish with spaghetti and replaced it in the fridge.",Anne thinks the blue dish contains spaghetti. ,,,12,,0.319,0.435,0.348,0.293,0.245,0.087,-0.124
10,fb,The girls left ice cream in the freezer before they went to sleep. Over night the power to the kitchen was cut and the ice cream melted. ,When they get up the girls believe the ice cream is melted. ,,,18,,0.29,0.645,0.419,0.321,0.052,-0.117,-0.364
11,fb,"The weather was so warm today that all the tulips in Pam's backyard suddenly bloomed. The tulips next to Pam's office still have not yet flowered, though. Pam has been at work all day.","Driving home after work, Pam supposes her tulips have not bloomed. ",,,14,,0.242,0.606,0.109,0.142,-0.074,0.214,-0.228
12,fb,"Every day Jill goes to the coffee shop on the corner and orders a latte, her favorite drink. Today, the cashier misunderstands Jill and prepares a mocha instead.",Jill thinks her drink will taste like a mocha. ,,,16,,0.208,0.382,0.229,0.242,-0.041,-0.257,-0.077
13,fb,"At night a bear broke into a cooler near a tent and drank the soda. Five hours later, the campers woke up and went to their cooler for breakfast.","In the cooler, the campers find no soda. ",,,11,,0.193,0.368,0.339,0.095,0.075,-0.186,-0.432
15,fb,"When Jeff got ready this morning, he put on a light pink shirt instead of a white one. Jeff is colorblind, so he can't tell the difference between subtle shades of color.    ","In reality, Jeff's shirt is pink. ",,,20,,0.173,0.615,0.061,0.225,-0.008,0.285,-0.407
16,fb,"Hopeful to catch a prize fish, George went fishing. That afternoon, he saw his fishing line bend over as if he had caught a big fish. Actually, George's fishing pole had snagged a small tire. ","At the end of the fishing line, George sees a fish. ",,,17,,0.074,0.576,-0.221,0.282,-0.074,0.21,-0.702
17,fb,"Tom saves an important document on his computer. The next morning, he unknowingly downloads a virus that wipes his hard drive clean. He then goes to class.","When Tom returns, he discovers his document is erased. ",,,,,0.07,0.525,-0.153,0.032,-0.017,-0.147,-0.51
18,fb,"Lillian titled her novel ""How to Cook a Grouse"" and submitted it to her publisher. Her publisher retitled the novel ""How to Cook a Pheasant"" and sent it off for publication without informing Lillian.","In the bookstore, Lillian notices the title is ""How to Cook a Grouse"". ",,,,,0.004,0.372,-0.12,0.194,-0.185,0.025,-0.625
22,fb,"Ken told Andrea that he was going shopping for sandals. At the shoe store, Ken noticed a very nice pair of boots on sale and bought them instead.",Ken's shoestore bag contains sandals. ,,,19,,0.198,0.664,0.033,0.249,0.187,0.217,-0.417
23,fb,"When the class science test was handed back, Shannon was mistakenly given Adams test. A large B was written on the front of Adam's test, but Shannon's actual grade was an A. ","In reality, Shannon received an A on the exam. ",,,15,,0.181,0.531,-0.04,0.039,-0.039,-0.32,-0.773
25,fp,"The traffic camera snapped an image of the black car as it sped through the stoplight. Soon after, the car was painted red and the license plates were changed.","According to the traffic camera, the car is black. ",,,21,,-0.01,0.263,-0.055,-0.084,0.032,-0.064,-0.318
29,fp,"The meterologists weekly weather summary mistakenly repeated the summary for the prior week, reporting sun every day. In actuality, it rained the entire week.",The weather summary indicates that it rained none that week. ,,,,,-0.083,0.228,-0.046,0.03,-0.083,-0.141,-0.546
30,fp,A golfers bag had 25 notches carved in it for every birdie. He once went golfing using a different bag and made two more birdies but never updated the notches.,According to the golf bag there are 27 birdies scored. ,,,,,-0.108,0.425,-0.27,-0.097,-0.165,-0.22,-0.622
32,fp,"A photograph was taken of an apple hanging on a tree branch. The film took half an hour to develop. In the meantime, a strong wind blew the apple to the ground.",The developed photograph shows the apple on the ground. ,,25,,,-0.137,0.304,-0.046,0.005,-0.079,-0.155,-0.46
36,fp,"A map shows the ground floor plan. A photocopy was sent to the architect yesterday, but at the time the kitchen door was missing. It was added to the map this morning.",The architect's photocopy shows the door. ,,23,,,-0.173,0.329,-0.171,0,-0.146,-0.068,-0.538
37,fp,"A popular attraction in the park, pictured on many souveniers, was a cliff face covered with ancient petroglyphs. Recently, the petroglyphs crumbled and scientists have not begun to restore them.",Today the petroglyphs can be seen on the souveniers. ,,,,,-0.225,0.167,-0.285,-0.129,-0.168,-0.314,-0.633
38,fp,"A sign along a hiking trail gave directions to some picnic tables in the forest. The picnic tables were later removed and replaced by an outhouse, but the sign was never updated. ",Today the sign points to an outhouse. ,,24,,,-0.3,0.199,-0.38,0.028,-0.096,-0.212,-0.445
41,fp,"An image shows an areal view of an arctic island with 1000 square miles of icecaps. The image was taken sixty years ago. Since then, global warming caused the icecaps to reduce to 300 square miles. ",An image taken of the island today shows that the the icecaps make up 300 square miles. ,,,,,,,,,,,
42,fp,A woman's drawing of her back yard included a blue treehouse. That was before the storm. She built a new treehouse last summer and painted it red. ,"Today, the treehouse is blue. ",,,,,,,,,,,
45,fp,"To detect intruders, the lab uses an automated system for recording voices. In the empty lab one night, a computer error occurs and a synthetic voice reads the error message.",The number of people in the lab that night is zero. ,,,22,,,,,,,,
46,fp,"When the photograph was taken, the boy in it was two meters away from the camera. The Eiffel tower is beside the boy in the photo; it was about 600 meters away.",In real life the boy is bigger than the Eiffel tower. ,,,26,,,,,,,,
47,fp,"A small leaf was placed on a wet clay flowerpot. When the pot was baked at high temperatures to harden the clay, the leaf crumbled, but its impression remained. ",The actual leaf is not intact. ,,,28,,,,,,,,
